review_id,review_title,review_comment,review_star_rating,reviewed_product_asin,review_year,review_country
R996W1WNCLDH5,Fantastic... If it works...,"Straight to the point, I returned my IE600 after 2 weeks of use. The left driver failed on the second day by constantly disconnecting from the music.

I tried reattaching the cable back to the driver which only provided a temporary solution before the music started to disconnect again.

Sennheiser Customer Service was utterly dismal and their ""solutions"" did not help.

With that out of the way, the SQ on these IEMs are phenomenal. Cymbals are brought to life, Bass is tight and precise, treble is crystal clear, and midrange while is not at the forefront is very good. Listening to Adele in Rollin in the Deep, you can hear her voice echo in the studio as well as hearing the strings vibrating. In Set Fire to the Rain the piano are the stars of the show.

Listening to orchestra music, the soundstage is not as wide as using a multi driver IEM but that's not what you should be looking for. When the drums are beating, you can feel the wind behind every beat and feel it trailing off beautifully. I do not need to say more for the rest of the instruments, they sound spectacular.

There are details this tiny 7mm driver reveals that my multi driver IEMs were unable to bring out unless I really listen closely. Proof that multi driver IEMs are not necessarily better than single driver IEMs.

A very detailed and musical IEM. But only if it works.

Checking with other Sennheiser users via audiophile groups revealed that the disconnecting drivers issue is not uncommon which made me less confident that a repair or replacement would resolve the problem. I tried to find reasons/ excuses to keep it during the time it was with me but the final straw that broke the camel's back was when the Sennheiser Customer Service was not helpful at all(Or rather, their reply was more like they cannot be bothered). It seems like Sennheiser prefers to chase customers away than retain us. Makes me wonder if all that lost business is what led Sennheiser to being sold off to Sonova.

Ultimately, it was with a lot of sadness(and maybe a little bit of relief) that I had to return it for a refund. Fantastic when it works, doesn't work most of the time.

I would rate it 2 stars but seeing all the other 4-5 star reviews of people simping the product led me to giving a lower rating to balance out the review.",1,B0BRPR38JR,2022,Singapore
R1I1C7A6CLLUGQ,Great sound and very Comfortable on the ear,Awesome! very glad with the purchase. Can even use it to sleep.,5,B0BRPR38JR,2021,Singapore
R1BHZX9XNTDKI5,Terrible build quality,"For such a reputable brand, I was shocked at how poor the build quality is. The cord is paper thin and the earphones themselves are cheap quality plastic thats seemingly prone to break on a moments notice. The volume level is extremely low as well, you’ll probably need an amplifier.. these should be 50$ not 200$",1,B0BRPR38JR,2024,Canada
R3MZMIB5Y034A8,Absolutely horrible audio quality,"The quality is absolutely horrible, I decided to buy  a nice pair of wired earbuds for my pc setup and thought i would go with some Sennheiser since they are a renowned audio  company, these have absolutely no base and the audio is just poor. I expected something way better from a 130$ product. To compare, i currently use the 70$ Linsoul kz zs10 pro and the audio quality is 10x better.",1,B0BRPR38JR,2024,Canada
R23WKLDRD6TVFO,Clean sound,Comfortable and well sounding IEMs.,5,B0BRPR38JR,2024,Spain
R1KK9HT56LQ2DP,Great Value,"Good accurate sound, sounds great without DAC.",5,B0BRPR38JR,2024,the United States
RRUVBPKONRI7D,Excelent quality and neutral EIM (for singers),"Had tested a couple of ear buds for my IEM (PSM300), Shure SE215, KZ (don't quite remember the model) IE100 and those IE200.
Quality wize, they are well built, well balanced and more confortable than any other I tested. The small form really helps keeping them confortable!
They're is a small trick you must do to make them optimal (blocking the small hole for the bass release) and they are better with foam tip but when you do, the quality is excellent!

They seems to be less powerful than other models though. but for the price, they are excellent!
And since they use the same model as the more expensive, you get really good bang for your buck!",5,B0BRPR38JR,2024,Canada
R2XZUBY4LOP24B,"Great sound, controls, with one small lroblem","I use these with my iPhones and laptop, and they are great for sound, listening to music, conferencing and more. I love everything about the device including the fit. I have one smaller ear canal than the other so traditional earbuds often had one fall out during activity; not with these. They also offer different sizes right out of the box that I have yet to open.

So I gave the product 5 stars. But the app needs some work. Explanation below with images.

Pros:
Stylish - barely noticeable
Cost considering ANC alternatives
Good controls built into app or earbuds
App structure is clear and Robust and allow additional sound customizations for afficianados.

Cons:
Controls via multiple phones.

I imagine most people are not in my situation but I have two iPhones. The app works great but there’s two small issues:

1. If you pair it with multiple, only one iPhone can control it. You need to know the last one that “connected” to it. You can pair with any device and download app to control on all, but only one app is “connected.” It’s a minor inconvenience.

2. You cannot label the iPhone pairing. The app allows you to toggle which device is using it. For me, this is laptop, iPhone and iPhone. Since you cannot change the label, I have to guess which iPhone I’m turning it on for, haha.

Images: second iPhone just stays at connecting. I haven’t had the patience to see if there’s a timeout. Either phone can connect but if the app is running in the background of one, the other won’t. I have to shut down the app on my first phone for my second to connect.

Second image is the device selection.

I’m not certain if it’s feasible to allow both to control it or if it was a developers choice to simplify potential complications. But being able to label your devices should easily be available.

Finally, I am not sure if my device control issue applies to android/other phones or if it’s iPhone specific.",5,B09BXPKY2Y,2022,Singapore
R5Q9DMJ80SM36,Great value!,"Have a pair of Sennheiser headphones for years so I trusted the brand. Not disappointed, got these for cross Atlantic trip and they were just fine.",5,B09BXPKY2Y,2024,the United States
R1SXC8838YA7WY,They don't last long for what they cost,"This is the second set of sennheiser wireless earbuds I have purchased. The first set were the cx true wireless, they lasted 2 years and both earbuds just stopped working, I could hear very faint clicking noises when trying to play any media. I thought I would upgrade to the next step up with the cx plus wireless, and now after 4 months the right earbud has stopped working with the same problem as the first set of earbuds.
Sennheiser had what I feel Is good sound quality for the price, but for the overall quality of the product, they are terrible, don't waste your money",1,B09BXPKY2Y,2024,the United States
R251XQRKFUCMYB,Awesome!,These earbuds are awesome - they come with different size bud covers and the smallest set is perfect for my ears - they do not hurt like AirPods! And they stay connected as I roam about my house away from my phone. Read the manual about the controls or you’ll drive yourself crazy when you touch them.,5,B09BXPKY2Y,2024,the United States
R3BU1CPF7K4Z0E,Stopped working after 2 months :(,"The right headphone no longer charges or powers on, and the lefts connectivity is spotty because of it. I take good care of them and these are not cheap. I liked them a lot but you only have a month to return so I guess I'm sol",1,B09BXPKY2Y,2024,the United States
R2Z30RMXU9A2U8,Buds case came with scratches,"The buds are in good condition and working fine. It is just the case came with scratches. Therefore, I had to give the amazon quality assurance teams a one star.",1,B09BXPKY2Y,2024,the United States
R10AB1ZN13VPB1,"Product not stable, broken after only 2 months of usage, customer service does not even reply","The one on the left side constantly got disconnected and I have to put it back onto the case to turn it on. The products do not disconnect from phones upon being put back into the case, have to manually disconnect bluetooth, cannot connect for call usage",1,B08ZR5JB9G,2023,Singapore
R1S0RBW2XWLFB8,Great sound but lasts like an open bag of chips,"I bought this in May this year and one side failed 3 months later, got it exchanged for a new one and one side has failed again. It’s consistent, I can give it that. For a big brand it is beyond belief. Yes, Sennheiser has delivered on their famed sound but it seems this product couldn’t last beyond 6 months. I have been using some cheap China earbuds for years, poor sound quality but hey it’s still going and I’m using them now that these CX have failed yet again. I’ve booked an appointment with Sennheiser (available slot a month from now, sigh) and I’m not going to ask for a replacement. I want my money back. Google this issue and it’s all over the net, shame on you Sennheiser.",1,B08ZR5JB9G,2023,Singapore
R3FQSGEH6GFFEG,Great sound quality but requires equalisation.,"Stock out of the box sound is a typical, slightly veiled, warm Sennheiser sound but with a touch more bass. After updating the firmware from the Sennheiser app, use the ""sound check"" function to create your preferred sound using your favourite music playing. For me, the sound check equalisation pushed treble up about 3db and cut bass at about 2db. The earphones now become much clearer, cleans up the sound and bass less boomy. I do enjoy fidelity of the sound, the drivers can handle bass very well, with podcast EQ selected, voices become very natural and easy to listen to for your Spotify podcasts and YouTube lectures.

Fit is a little large and you need get used to it. Stock eartips are a little stiff, and needs time to soften up. Stock eartips are half dome and inserts deep. So no worries about it popping out while doing cardio.

Will recommend if you're willing to EQ the earphones.",5,B08ZR5JB9G,2023,Singapore
R36PUHAVCB9V06,True audio less earbuds,"Bought the Earbuds because of Brand name Sennheiser, Arrived in a day after order, but totally disappointed. At first try the Right ear buds didn't work (No audio, no led), thought might need to charge and charged till green led glowed. Tried earbuds again. Unlucky, the right earbuds was dead always, no audio no light (LED). Is there a quality check of products done by Sennheiser ?
Returning the item back. I guess we need to be lucky to get a working product ?.",1,B08ZR5JB9G,2023,Singapore
R1AACVX1TBESPZ,Left bud not working at all,Bought the earbuds today from Amazon. The left earbud doesn’t charge at all. Not showing any lights. Right one is good. Tried everything. Really bad experience.,1,B08ZR5JB9G,2023,Singapore
R24CWDGY4GJ0X2,Fast delivery and quality product,Ordered on Wed evening and received on Fri afternoon. Sennheiser's quality has never fail to amaze. One of the bang for buck product out there.,5,B08ZR5JB9G,2022,Singapore
R1FXBCYY40IZN1,Great sounding and great value.,Sounds fine. The plastic eartip is a bit odd in ear.,5,B08ZR5JB9G,2021,Singapore
R2J9I8EB6XCGXV,"Unreliable, 10 months only lifetime","Disappointed in the brand. One earbud died after ~10 months from purchase. I was sent a replacement. Interestingly enough same side (left) earbud stopped functioning after 10 months. Another replacement sent (great customer service admittedly). After 11 months, right earbud ceased functioning. Avoid if possible",1,B08ZR5JB9G,2024,the United States
R2WT58RNLXS271,Left unit not working after 4 months of usafe,The quality of version 3 is better than older version but left side unit failed to work after 4 months of usage.  This is very bad!,1,B09T935X38,2024,Singapore
R2PLZQX0FWWD3R,So far so good,"These Sennheiser MTW3 earbuds sounds so much better than my ipods pro 2. Love it!

Much better than Bose QC2 which i also had. The Bose had terrible connectivity issues with iPhone. So annoyed with the frequent disconnection with the Bose QC2 that i replace with these Sennheisers MTW3. I never had problems with the BT connectivity with MTW3.

Only thing with MTW3 is the bulky charging case as compared to ipod pros.",5,B09T935X38,2024,Singapore
R3DARM4WVBXJ8E,Poor Sennheiser after sales support!,"I was happy and very satisfied with the excellent sound quality and feature of this product. Unfortuately, after 2 months of very light use, one of the earbuds would not charge and could not be used.
Have requested for warranty replacement support from Senheisser Singapore through the website. Initially got a response after 1 days and was told to setup RMA for a return via postage to the local support centre. I have used Singpost tracking service which indicated that the product is delivered successfully to the service centre.
From then on, i did not hear from Senheisser on the status of the replacement. It has been 2 months on and after making service email requests and phone calls for status updates, I got none. As I am writing this review, I am on the phone with Senheisser waiting for the other side to pick up the call, which I am waiting for more than 30 minutes. I am not sure if my call would be answered. I have a feeling it would be a total loss on this purchase plus the efforts to return the faulty product and contact I have made with Senheisser would cone to nothing. It is a scam for my experience dealing with the company.
With great disappointment, I would not get another Senheisser product. Although the sound quality is great, the reliability is poor and very expensive.
Buyers of the brand beware!",1,B09T935X38,2024,Singapore
RXTR8S3MXU0G9,Worked for only 5 months,Worked well for 5 months.  Then left ear bud stopped working and a day later was not able to charge.  Don't waste your money on this product.,1,B09T935X38,2024,Singapore
RJT4MEEWOFLAT,Worst product to buy,One ear piece has stopped working within a year. Hardly used the product once a month and was not comfortable to use as well. Application had tons of bugs and very hard to switch between multiple devices. Truly disappointed with the product,1,B09T935X38,2024,Singapore
R1M7SBNKHDSY2Y,Only lasted 5 months,"My right earbud died after 5 months of usage. Earliest Appointment with the service centre was in a month time and  due to replacement stock shortage, my replacement earbuds will take another month to arrive. A total 2 months of waiting before I can get to use my earbuds again. Service centre personnel redirected me to an email address when i ask for a warranty extension of 2 months due to non usage. It has been 2 weeks and i have yet to get a reply or an acknowledgment sennheiser regarding my request. I figured this is going to be my first and last sennheiser product.",1,B09T935X38,2024,Singapore
R16KT4VNOS0OX2,"Nice sound, but died early as other reviewers said","Bought these in June but one side died on me about four months later -- couldn't charge, couldn't pair, couldn't do anything. When I tried to book an appointment with the warranty dealer, earliest available slot was about 2 months later.

It had great sound while it lasted. But for four months worth of use, I would buy something else.",2,B09T935X38,2024,Singapore
RZ1DZBQ79SUBB,Good product. Until it died,"Used with no issues for ~3-4 months. Then the right bud stopped charging and became undetectable

Sent for servicing/ getting free replacement (in another colour because the one i had is out of stock)

Seems to be a fairly common issue from reading comments retrospectively; would consider an alternate product if i had found how unreliable it was",2,B09T935X38,2024,Singapore
R2VKOB8MAQ19RL,Right earbud dead after 5 months.,No way of contacting customer support. Horrible brand and would think thrice before buying from Sennheiser again. Totally waste of time and money,1,B09T935X38,2024,Singapore
R383TENADDGRSA,Bricked after 3months. Cannot charge,"These earphones bricked after 3 months. I can't charge them, can't use them and the service center is terrible.. the next servicing appointment available is 2 months down... DO NOT BUY",1,B09T935X38,2024,Singapore
RA98G3O57KJIC,One of the earbud stops working .,One the ear piece stops working suddenly. I had even replaced once . But even the replaced one is also behaving the same .,1,B09V1QX6PB,2024,Singapore
R1GPHSYMWQAKCI,Good but not good enough,"They have good sound and connectivity but for a headphone advertised for listening to while being active, they fall short. Compared to my old bose sports earbuds these Sennheiser's are disappointing. I have to readjust them multiple times throughout my workouts and they're really not that comfortable. Just not worth it for $100.",3,B09V1QX6PB,2024,the United States
R13B68DA4P453R,"Want to love these, but they hurt my ears","I have a really hard time finding ear buds that stay in my ears, so I thought I would give these a try. The good news is they definitely stay in my ears, the bad news is they hurt after a while. I love my other Sennheiser headphones and these definitely sound great, but after about an hour on the plane they were really starting to hurt my ears, even with the smallest buds on. It's not bad enough to get rid of them, it's tolerable, but I will likely keep bringing my big headphones for long trips.",3,B09V1QX6PB,2024,the United States
R2DPF6WXWHYRMG,They fit and they stay in my ears.,"Pro:
I have had many earbuds and have always had trouble keeping them in my ears.
I ride a motorcycle so this can be very disconcerting.
These stay in! No slipping. Never fall out.

Con:
They are very sensitive to touch. Easy to alter volume or track inadvertently.",5,B09V1QX6PB,2024,Canada
R2TDEN0GIQDLQZ,"After 1 year of usage, these are approved!","Battery is great.
Sound quality is better than I expected. The Bass is deep, but not muddy.
Lightweight, and my ears don't itch after 4-6 hours. I could do backflips without them falling out.

Only downside I can think of is the touch controls are a little sensitive on the left earbud, and I sometimes pause my podcast or music by accident. It's a minor inconvenience, but it is something I noticed. Maybe there could be a user defined delay so the user has to press for 500ms or something? I should reload the Sennheiser app on the phone and see if its possible.",5,B09V1QX6PB,2024,the United States
R3UYALRPMGLOIT,Good budget headphone.,listen mostly to music on the go. Good bass and mids with a little sparkle in the treble plus tangle free cable.,4,B07N1YLC23,2022,Singapore
R1YPDKRYSYGTI9,Average headphone,"It works, an average headphone not outstanding",3,B07N1YLC23,2020,Singapore
R290XVLQ30BAWB,Crisp and clear,"Great for conference calls. Noise cancellation is great, so I usually put on one side of the ear, in order that I can hear myself talk with the other. When not on calls, the noise cancellation on both ears with the music of your choice does provide good focus.

With regards to listening to music, it does have a good bass, but at default (without any form of settings from your computer), it's great listening for vocals such as Adele and classical pieces.

The ear piece fits comfortably, make is great and looks good too. It fits my needs overall, so giving 5 stars.",5,B07N1YLC23,2020,Singapore
R2ES3QZXVGCDR7,Still works,"After God knows how long ago I purchased this... it still hasnt broken. It was good for its price, its always been with me on my journeys to work. The sound is good but not great. The only down side is the replacement ear cushions. Kept on losing them then I got the replacements as back ups.",5,B07N1YLC23,2024,the United Kingdom
R2WOIQGJJR14JP,Mixed feelings,"While the fit and sound are great the heart rate monitor gives me much higher values than my watch (Garmin Epix Pro) my heart rate while running is usually 135 the earbuds gave me 178 even though it was an easy run, I unpaired it as a heart rate monitor from the watch.",3,B0CXFDRFTL,2024,the United States
R22YJKSMIXMTA0,"Great sound, unreliable everything else","Sounds is on point and it's mic works great for calls, which is the important things, but the other features are very unreliable ie the heart rate monitor and temperature monitor that may work properly 1 complete work out per week. In other words I've worn them to the gym 3-4 times a week for the passed 3 weeks and I've only received 1 passable workout monitoring, while my Samsung active watch 3 outshines it by far and it's 4 years old....
Also, it may have the worst case for buds I've ever seen, it's big, bulky and not reliable to stay closed. Also, there no external hard covers for it yet",3,B0CXFDRFTL,2024,the United States
RLWQTTFTAMYXK,Great (expensive) Sport Earbuds with some quirks but worth it for the right reasons,"Let me start out by saying that while other reviews say the ANC isn’t that good I really disagree. I’m not sure if they know this but these are semi-open by design and even still the ANC is really good. The reason they are semi-open is beacuse of safety and also beacuse it stops the dreaded foot drop effect when running. You know when you run and you hear each and every step as a thud in your ears? Well these have very little of that. If you’re a runner you know what I speak of.

The default sound profile is good but if you don’t like it you can tune the buds to your liking in the sennheiser app. The app isn’t the best but it’s much better than allot of the competition out there.

I use these with an Apple device so I don’t get to take advantage of the aptX codec but even with AAC it does sound really good.

The anti-wind mode is really awesome for outdoor runs. It does a fantastic job at cancelling out wind noise. I honestly don’t even hear it when in this mode. I’d say transparency mode is about 80% of what Apple AirPods Pro 2 are. It’s very solid.

My two biggest knocks on them are that the fins aren’t very comfortable and I think the heart rate and temp sensors are gimicky (I am not in the Polar ecosystem).

After about an hour or use. There is some dull feeling in my ears and I use the smallest fins. Unlike the Beats sport buds which are one solid piece of rubber fin they put a slit in the fin which I think is for flexibility. What ends up happening is that they dig into your ears a bit. I hope they or someone makes after market fins that are a little more comfortable.

Secondly, I have an Apple Watch Ultra and get my heart rate from it as connect it to my watch for music on my runs. I’m not sure if these will ever integrate into Apple health but the polar app really isn’t all that useful for someone not using a polar device. I use these mostly for running and I don’t see the value in the polar integration since I’m not in that ecosystem.

If sennheiser were to fix the fins and make them a solid piece of rubber and possibly removed the heart rate and temp sensors and sold the buds for ~$60 less these would be the the most recommended sport buds. However with the beats sport buds a bit less you really have to see the value in the sound quality to get these.

All in all as an audio enthusiast and outdoor fitness person I will highly recommend these. I think the sound quality and ability to customize the EQ is a great feature. The ANC, transparency, and anti-wind modes all deliver, and while I don’t find the find comfortable they buds always feel secure in my ears and I never worry about them falling out.",4,B0CXFDRFTL,2024,the United States
R12ORL2LZERZB0,Good for sport but.....,"I am a fan of Sennheiser's line of headphones (Sennheiser Momentum 1, 2 & 3). I use them for weightlifting; they don't budge from your ears at all. They have a very fast connection to the phone or a second device like a PC at the same time. The sound quality is good, but compared to other Sennheiser models like the Momentum 3 I have, the quality doesn't measure up, nor does the volume, which is a bit lower. If you're in the gym with very loud background music, the noise cancellation might not be very effective (they are similar to open-back headphones). The problem starts when you're a very active runner and tend to sweat a lot; since they use silicone tips and your ears get moist, they tend to fall out even when using the provided ear fins. I have used the heart rate sensor and it is not as accurate as a watch (Samsung Watch 6). If I'm going for a run longer than 3 miles, I don't use them because they end up falling out of my ears. I give them 3 stars; I expected them to be a bit better given their high price.",3,B0CXFDRFTL,2024,the United States
R1EN3RIK6O6O54,One major irate.,"Would be a great product except for the removable/adjustable rubber ear clips. There a pain to get on and adjust properly and then they move out of adjustment easily. They also prevent the buds from seating properly in the case causing charging problems if out of adjustment.
Ended using without the clips.
Still use my 3 yr old Bose buds more than these.",3,B0CXFDRFTL,2024,the United States
RBMIYR6TE8W5I,Not great. Borderline terrible.,"Honestly I am shocked at just how bad these units are, especially for the price, and especially when compared to Sennheiser's own Momentum TWS 4, which costs $30 less:
- They sound worse, with even less treble extension and with less detail overall.
- The noise canceling is worse, the isolation is worse, and the max volume is, AT MOST, 75% of the Momentum TWS 4. Despite being a fitness product, these are much more difficult to hear in loud environments.
- Again, despite being a fitness product, these actually fit less snugly and are objectively less comfortable. Where the Momentum TWS 4 is very smooth and contoured, with no sharp edges to be found, these are instead slightly textured. Now that alone wouldn't be an issue and probably does help with breathability, but bizarrely the texture doesn't smooth out on the edges around the sensor or stabilization fins, meaning these are effectively covered in small serrated edges that are very noticeable against your skin.
- The near-tap gestures are a neat idea, but are just not implemented well. The only other device I've seen this in is the original Sony Link Buds, where it worked absolutely flawlessly with even light taps up to ~2 inches in front of your ear. Unfortunately even at high sensitivity these barely work with uncomfortably firm taps and require you to be so close that you might as well just be tapping the buds directly.
- The case is very large and has a lid that is held on solely with magnets and a thin silicone hinge, which is nowhere near strong enough to justify including a lanyard loop.
- The eartips are made of a very stiff and almost plastic-feeling material that is far less grippy than the Momentum TWS 4. It is also translucent to allow for the fitness sensors, which means you can't use aftermarket tips if you want the sensors to function properly.

Overall these are just not a good product, and honestly seem like something that they ended up sinking too much money into to justify scrapping.",2,B0CXFDRFTL,2024,the United States
R3G1UPJF3WDEX6,Promise,They are very interesting. Loved the features but I couldn’t get a fit that gave me a $320 sound. Sent back.,3,B0CXFDRFTL,2024,the United States
R3LTE8UJAKYT0I,"Excellent sounding running headphones, but pricey","I have been searching for running headphones that sound good enough to replace my Bose QC II, as they require constant readjustment on sweatier runs. The Sports sound better than my Bose and have more clarity, but they are behind in ANC. However, being sports headphones ANC is not as important to me. Sennheiser's buds get significantly louder than my Bose (100 decibels), capping over 105 decibels using Apple Music. Overall, these are excellent headphones, but overpriced due to the unnecessary health-tracking features. I say unnecessary because having a smartwatch makes HR and body temp tracking redundant. With that being said, I don't think there are any other TWS that sound as good as these for running",4,B0CXFDRFTL,2024,the United States
R23GGDPBKKQFQ3,Horrible sound quality,Horrible sound and bad for making calls,1,B0CXFDRFTL,2024,the United States
R2N8ABYFRID4AG,Volume very low,The acoustics are great but the volume is extremely low for my taste.,2,B0CXFDRFTL,2024,the United States
RG7MSJPRI15DX,Top performer,"I have bought many top shelf earbuds. None absolutely,none compare to these.
Ease of connectivity, fast charge, long listening time;)
The highs ,lows, the instruments are all there!
The voices are so clear. You hear the singer taking a breath in..
No doubt these are winners weather your a audiophile  or not..",5,B0D1SBVDVW,2024,the United States
R2WPMDIHRN0ZE5,Amazing sound,"I recently ordered the Sennheiser Accentum True Wireless Earbuds, and I had a bit of a rocky start. The first pair I received were defective—they sounded terrible and had no bass at all. Fortunately, the replacement pair I got were absolutely amazing.

The sound quality is crystal clear with a lesser focus on deep bass but incredible minds and highs. The ANC isn't anywhere near as good as other earbuds at this price, unfortunately. The ergonomic design makes them comfortable for long listening sessions, and the 28-hour battery life is impressive.

The app that comes with these earbuds is the best I’ve ever used. It’s intuitive and offers a lot of customization options, enhancing the overall experience.

Even though they are on the expensive side, they’re definitely worth the money. If you get a working pair, you’ll experience music like never before.",4,B0D1SBVDVW,2024,the United States
R1MPZZJ5RWRRHX,"okay earbuds, unstable bluetooth, time to return","I wanted to buy into sennheiser quality and give these earbuds a chance. Big mistake. These earbuds sound okay at best. They are comfortable, but the deal breaker is the bluetooth connection. It regularly drops when I'm using both buds to listen to music while I'm walking. This isn't a problem with my bose or jabra earbuds. These disappointing 200 buck paperweights are going back...",1,B0D1SBVDVW,2024,the United States
RPLNN28KT9PM7,Bluetooth distortion,"Very bad experience, bluetooth connection has distortion.
Never recommend sennheiser..
Please go for apple.",1,B085LVV8R7,2024,Singapore
